Format Version,1.23,Take Name,circum_21_10_2023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.30.571 AM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,125.666306,23.443737,31.632185,74.950348,199.393188,108.010201,0.182097,23.184280,314.588257,192.560989,0.958855,37.741570,250.126419,252.415298,0.975253,36.106949,294.870819,217.846237,0.916247,5.659431,281.367279,212.880234,0.914865,70.883163,304.469879,221.723114,0.960388,75.041328,199.326935,107.889961,0.000000,23.233215,314.469971,192.664429,37.792545,250.073547,252.481674,36.167133,295.084259,218.097351,5.453557,281.337769,212.610580,70.928932,304.457306,221.571930,,,,,,
27,0.225000,125.508102,23.546303,31.643747,74.918358,199.377625,107.999924,0.183314,22.896313,314.728912,192.179840,0.958855,37.468910,250.447418,252.224091,0.975253,35.815323,295.096741,217.533249,0.916247,5.391955,281.538879,212.567245,0.914865,70.573929,304.753113,221.425766,0.960388,75.009575,199.311172,107.879959,0.000000,22.943150,314.607086,192.295883,37.521496,250.395172,252.297791,35.863911,295.286041,217.784348,5.190007,281.525543,212.282700,70.627930,304.751373,221.269531,,,,,,
28,0.233333,125.360992,23.691994,31.651924,74.978340,199.443192,107.983429,0.177648,22.593170,314.901123,191.791122,0.958250,37.198830,250.799713,252.019531,0.974571,35.511147,295.358490,217.214081,0.918640,5.122788,281.727448,212.234146,0.914812,70.244217,305.093994,221.137192,0.954415,75.069885,199.376633,107.863777,0.000000,22.631403,314.794006,191.913376,37.232670,250.747406,252.099930,35.559277,295.550018,217.472794,4.944316,281.695862,211.945587,70.302444,305.093567,220.964401,,,,,,
29,0.241667,125.167641,23.799023,31.685799,75.010300,199.374573,108.047470,0.173305,22.357906,315.031006,191.412903,0.958250,36.949432,251.136536,251.864258,0.974571,35.260807,295.583893,216.916656,0.918640,4.896581,281.900360,211.933365,0.914812,69.976059,305.373840,220.861923,0.954415,75.102104,199.307739,107.928169,0.000000,22.408144,314.911469,191.516953,37.002136,251.090652,251.926895,35.309982,295.770325,217.188965,4.703733,281.885864,211.654282,70.016861,305.367188,220.701904,,,,,,
30,0.250000,125.032150,23.885063,31.674080,74.965775,199.404922,108.019073,0.171804,22.099648,315.194489,191.063766,0.959794,36.733437,251.467712,251.681656,0.977184,35.010345,295.827118,216.624176,0.917125,4.667968,282.090851,211.652908,0.916863,69.709671,305.673126,220.570099,0.958610,75.057755,199.337936,107.900002,0.000000,22.148073,315.079773,191.165558,36.779221,251.419418,251.744125,35.055748,296.024994,216.886215,4.475395,282.061707,211.383362,69.762680,305.667145,220.413376,,,,,,
31,0.258333,124.900459,23.967476,31.686419,74.957718,199.428802,108.005180,0.191042,21.886404,315.345154,190.741516,0.954245,36.528217,251.768173,251.514557,0.974699,34.792492,296.048096,216.357376,0.919913,4.469678,282.268524,211.386627,0.913604,69.477402,305.939850,220.315689,0.956640,75.049881,199.361618,107.886345,0.000000,21.935043,315.221802,190.867630,36.566967,251.712769,251.589859,34.858242,296.238586,216.606430,4.272242,282.248810,211.103683,69.521690,305.948090,220.148209,,,,,,
32,0.266667,124.762314,24.027950,31.716288,74.942642,199.409790,108.011436,0.184703,21.720312,315.476166,190.439880,0.954245,36.339394,252.041733,251.367157,0.974699,34.612358,296.243195,216.110947,0.919913,4.302688,282.434631,211.140381,0.913604,69.287453,306.164276,220.081924,0.956640,75.034966,199.342407,107.892845,0.000000,21.771313,315.342926,190.553009,36.384659,251.992218,251.425797,34.660912,296.451355,216.362762,4.099780,282.409821,210.869843,69.345627,306.163513,219.928604,,,,,,
33,0.275000,124.647141,24.085308,31.721748,74.920998,199.433090,108.002960,0.185112,21.556046,315.620483,190.168304,0.957076,36.185020,252.317581,251.229858,0.973794,34.446476,296.448120,215.885483,0.917239,4.150681,282.606354,210.922745,0.914100,69.111328,306.403809,219.859116,0.956032,75.013451,199.365555,107.884560,0.000000,21.598055,315.494232,190.276825,36.223278,252.253265,251.303253,34.517239,296.626312,216.155365,3.955152,282.601379,210.640259,69.155777,306.421143,219.689835,,,,,,
34,0.283333,124.525757,24.155457,31.716507,74.945412,199.420807,108.031578,0.181567,21.406416,315.728668,189.912796,0.957076,36.063835,252.573013,251.119858,0.973794,34.300911,296.625397,215.679321,0.917239,4.022859,282.740936,210.727478,0.914100,68.952736,306.626251,219.653137,0.956032,75.038010,199.353119,107.913383,0.000000,21.460453,315.602448,190.040726,36.107132,252.530075,251.183899,34.340462,296.815063,215.918396,3.835406,282.719452,210.454208,69.003304,306.627136,219.495377,,,,,,
35,0.291667,124.437630,24.215076,31.690443,74.960426,199.460388,108.013573,0.188111,21.274109,315.850647,189.680908,0.952281,35.985329,252.816681,251.000397,0.976463,34.183075,296.805939,215.483521,0.922576,3.921434,282.879944,210.548203,0.913436,68.822975,306.851501,219.448608,0.958507,75.053123,199.392593,107.895508,0.000000,21.329521,315.722076,189.810654,36.033379,252.772064,251.067963,34.237110,296.987152,215.728790,3.721224,282.866760,210.266006,68.865646,306.856689,219.288300,,,,,,
