Format Version,1.23,Take Name,danielle_circum_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.16.643 PM,Total Frames in Take,480,Total Exported Frames,480,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
27,0.450000,-0.219940,0.012978,-0.878640,-0.423616,0.002716,0.188340,0.187798,0.000381,-0.059433,0.252550,0.306341,0.904453,-0.064813,0.298557,0.274218,0.947651,0.002712,0.188340,0.187798,0.000000,-0.091094,0.237241,0.297354,0.929012,-0.028594,0.266462,0.309754,0.868418,-0.042369,0.229264,0.325253,0.941734,,,,,,,,,,-0.059298,0.251823,0.306224,-0.064954,0.298288,0.274060,,,,-0.091160,0.238020,0.297376,-0.028711,0.267048,0.310028,-0.042181,0.228895,0.325232
28,0.466667,-0.212713,0.015934,-0.885115,-0.413606,0.004557,0.189107,0.188072,0.000315,-0.061121,0.251547,0.305654,0.905030,-0.066907,0.297540,0.273581,0.947238,0.004553,0.189107,0.188072,0.000000,-0.092275,0.235590,0.296040,0.927212,-0.030658,0.266109,0.309675,0.863611,-0.043906,0.228568,0.324803,0.936089,,,,,,,,,,-0.061073,0.251170,0.305631,-0.066758,0.297629,0.273460,,,,-0.092541,0.235590,0.296160,-0.030603,0.266647,0.309741,-0.043892,0.228316,0.324761
29,0.483333,-0.208592,0.018453,-0.887698,-0.410052,0.004505,0.189174,0.188061,0.000321,-0.062864,0.250842,0.305092,0.905030,-0.068643,0.296873,0.273071,0.947238,0.004501,0.189174,0.188060,0.000000,-0.093798,0.234685,0.295110,0.927212,-0.032552,0.265613,0.309471,0.863611,-0.045687,0.227940,0.324366,0.936089,,,,,,,,,,-0.062785,0.250491,0.305074,-0.068501,0.296985,0.272957,,,,-0.094070,0.234647,0.295222,-0.032490,0.266131,0.309523,-0.045698,0.227699,0.324334
30,0.500000,-0.204362,0.021097,-0.889957,-0.407146,0.004390,0.189087,0.188138,0.000322,-0.064584,0.250088,0.304582,0.900158,-0.070284,0.296161,0.272608,0.948944,0.004386,0.189087,0.188137,0.000000,-0.095316,0.233778,0.294231,0.924314,-0.034406,0.265022,0.309321,0.866877,-0.047483,0.227239,0.323986,0.947983,,,,,,,,,,-0.064520,0.249695,0.304553,-0.070132,0.296260,0.272515,,,,-0.095599,0.233751,0.294334,-0.034340,0.265548,0.309375,-0.047482,0.227034,0.323951
31,0.516667,-0.200765,0.023882,-0.892025,-0.404247,0.004214,0.189144,0.188107,0.000329,-0.066217,0.249395,0.304069,0.906648,-0.071866,0.295536,0.272185,0.946644,0.004210,0.189144,0.188107,0.000000,-0.096757,0.232948,0.293372,0.926056,-0.036170,0.264481,0.309146,0.865688,-0.049177,0.226580,0.323567,0.939651,,,,,,,,,,-0.066160,0.249027,0.304048,-0.071718,0.295650,0.272082,,,,-0.097034,0.232912,0.293469,-0.036104,0.265012,0.309191,-0.049172,0.226339,0.323548
32,0.533333,-0.196839,0.025977,-0.894197,-0.401237,0.004100,0.189152,0.188127,0.000343,-0.067820,0.248775,0.303498,0.906648,-0.073441,0.294936,0.271636,0.946644,0.004096,0.189152,0.188127,0.000000,-0.098153,0.232161,0.292477,0.926056,-0.037917,0.264036,0.308890,0.865688,-0.050831,0.226031,0.323122,0.939651,,,,,,,,,,-0.067769,0.248369,0.303471,-0.073294,0.295066,0.271540,,,,-0.098437,0.232117,0.292567,-0.037827,0.264573,0.308932,-0.050835,0.225813,0.323112
33,0.550000,-0.196676,0.026487,-0.892522,-0.404995,0.002008,0.188316,0.187636,0.000408,-0.069399,0.248604,0.302981,0.810003,-0.074642,0.294789,0.271091,0.913628,0.002004,0.188316,0.187636,0.000000,-0.099870,0.232234,0.291975,0.799123,-0.039369,0.263619,0.308360,0.833935,-0.052595,0.225732,0.322617,0.891583,,,,,,,,,,-0.069277,0.247863,0.302863,-0.074772,0.294520,0.270918,,,,-0.099930,0.233035,0.292002,-0.039498,0.264216,0.308621,-0.052398,0.225346,0.322619
34,0.566667,-0.189451,0.029167,-0.897947,-0.396167,0.003748,0.189176,0.188062,0.000333,-0.070800,0.247854,0.302243,0.810003,-0.076344,0.294007,0.270356,0.913628,0.003744,0.189176,0.188061,0.000000,-0.100760,0.230943,0.290668,0.799123,-0.041156,0.263417,0.308182,0.833935,-0.053920,0.225256,0.322129,0.891583,,,,,,,,,,-0.070744,0.247494,0.302220,-0.076195,0.294117,0.270261,,,,-0.101040,0.230897,0.290757,-0.041083,0.263961,0.308230,-0.053919,0.225008,0.322108
35,0.583333,0.185382,-0.030412,0.899772,0.393853,0.003679,0.189227,0.188075,0.000349,-0.072193,0.247562,0.301558,0.906946,-0.077672,0.293681,0.269610,0.941999,0.003675,0.189227,0.188075,0.000000,-0.101963,0.230502,0.289714,0.920696,-0.042681,0.263271,0.307763,0.868976,-0.055385,0.225051,0.321602,0.945119,,,,,,,,,,-0.072137,0.247195,0.301540,-0.077522,0.293830,0.269516,,,,-0.102262,0.230423,0.289787,-0.042599,0.263787,0.307800,-0.055375,0.224832,0.321602
36,0.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073403,0.246993,0.300856,-0.078690,0.293561,0.268750,,,,-0.103339,0.230092,0.288836,-0.043968,0.263732,0.307347,-0.056714,0.224708,0.321060
