Format Version,1.23,Take Name,danielle_nziz_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.03.460 PM,Total Frames in Take,395,Total Exported Frames,395,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.433333,0.267359,-0.003158,0.795414,0.543899,0.008524,0.154052,0.189290,0.000179,-0.017455,0.233978,0.311662,0.924378,-0.014399,0.279390,0.278405,0.948349,0.008521,0.154054,0.189290,0.000000,-0.052988,0.227878,0.307443,0.930170,0.016169,0.238909,0.310524,0.918378,-0.004978,0.207076,0.329316,0.926909,,,,,,,-0.017520,0.233693,0.311581,-0.014397,0.279462,0.278212,,,,-0.052882,0.228109,0.307559,0.016069,0.239177,0.310681,-0.004922,0.206789,0.329317
27,0.450000,0.263352,-0.005600,0.796421,0.544361,0.009285,0.154250,0.189242,0.000201,-0.017786,0.234290,0.311302,0.924378,-0.014368,0.279675,0.278044,0.948349,0.009281,0.154252,0.189243,0.000000,-0.053283,0.228222,0.306749,0.930170,0.015852,0.239188,0.310483,0.918378,-0.005504,0.207390,0.329095,0.926909,,,,,,,-0.017803,0.234120,0.311274,-0.014251,0.279834,0.277855,,,,-0.053397,0.228233,0.306879,0.015840,0.239424,0.310545,-0.005477,0.207154,0.329119
28,0.466667,0.261292,-0.006579,0.794314,0.548406,0.008516,0.154186,0.189324,0.000179,-0.018199,0.234816,0.311074,0.941433,-0.014254,0.280073,0.277701,0.949121,0.008512,0.154188,0.189325,0.000000,-0.053736,0.229064,0.306424,0.940216,0.015486,0.239399,0.310349,0.922231,-0.006224,0.207853,0.328981,0.921496,,,,,,,-0.018289,0.234604,0.311035,-0.014226,0.280132,0.277508,,,,-0.053648,0.229261,0.306529,0.015392,0.239664,0.310483,-0.006155,0.207546,0.328974
29,0.483333,0.258341,-0.008562,0.793945,0.550307,0.008459,0.154290,0.189318,0.000186,-0.018700,0.235172,0.310802,0.941433,-0.014330,0.280374,0.277408,0.949121,0.008455,0.154292,0.189318,0.000000,-0.054231,0.229575,0.305921,0.940216,0.015009,0.239603,0.310296,0.922231,-0.006966,0.208174,0.328816,0.921496,,,,,,,-0.018762,0.234919,0.310748,-0.014333,0.280447,0.277207,,,,-0.054122,0.229799,0.306025,0.014920,0.239868,0.310440,-0.006922,0.207865,0.328823
30,0.500000,0.255371,-0.010185,0.793664,0.552068,0.008408,0.154311,0.189337,0.000176,-0.019196,0.235496,0.310518,0.936754,-0.014434,0.280627,0.277081,0.948137,0.008404,0.154313,0.189337,0.000000,-0.054717,0.230033,0.305422,0.936177,0.014533,0.239791,0.310218,0.922080,-0.007684,0.208481,0.328649,0.922953,,,,,,,-0.019256,0.235256,0.310463,-0.014427,0.280693,0.276885,,,,-0.054630,0.230250,0.305524,0.014441,0.240050,0.310365,-0.007626,0.208178,0.328652
31,0.516667,0.252745,-0.012217,0.793378,0.553645,0.008325,0.154449,0.189278,0.000179,-0.019715,0.235800,0.310248,0.937360,-0.014568,0.280896,0.276820,0.949291,0.008321,0.154450,0.189278,0.000000,-0.055225,0.230473,0.304932,0.936157,0.014031,0.239963,0.310156,0.925602,-0.008423,0.208749,0.328462,0.924923,,,,,,,-0.019785,0.235566,0.310191,-0.014565,0.280963,0.276629,,,,-0.055126,0.230687,0.305031,0.013944,0.240211,0.310296,-0.008368,0.208453,0.328471
32,0.533333,0.250589,-0.014162,0.793220,0.554804,0.008254,0.154593,0.189221,0.000179,-0.020199,0.236016,0.310046,0.937360,-0.014732,0.281100,0.276652,0.949291,0.008250,0.154595,0.189221,0.000000,-0.055695,0.230799,0.304536,0.936157,0.013561,0.240077,0.310139,0.925602,-0.009088,0.208929,0.328318,0.924923,,,,,,,-0.020258,0.235755,0.309978,-0.014731,0.281161,0.276458,,,,-0.055595,0.231030,0.304644,0.013471,0.240347,0.310292,-0.009041,0.208629,0.328320
33,0.550000,0.248422,-0.015997,0.793173,0.555794,0.008291,0.154669,0.189213,0.000163,-0.020605,0.236165,0.309883,0.934046,-0.014839,0.281234,0.276521,0.954616,0.008288,0.154670,0.189213,0.000000,-0.056084,0.231040,0.304181,0.937437,0.013164,0.240138,0.310160,0.922284,-0.009664,0.209049,0.328216,0.930538,,,,,,,-0.020667,0.235919,0.309812,-0.014816,0.281284,0.276348,,,,-0.055999,0.231248,0.304290,0.013064,0.240398,0.310297,-0.009609,0.208776,0.328214
34,0.566667,0.246642,-0.018376,0.792641,0.557270,0.008183,0.154787,0.189165,0.000189,-0.020995,0.236275,0.309773,0.934046,-0.014869,0.281355,0.276490,0.954616,0.008180,0.154789,0.189165,0.000000,-0.056465,0.231304,0.303882,0.937437,0.012789,0.240106,0.310228,0.922284,-0.010262,0.209093,0.328132,0.930538,,,,,,,-0.021059,0.236038,0.309711,-0.014866,0.281425,0.276295,,,,-0.056366,0.231526,0.303981,0.012702,0.240369,0.310365,-0.010214,0.208776,0.328153
35,0.583333,0.244732,-0.020950,0.792344,0.558443,0.008233,0.154879,0.189217,0.000193,-0.021346,0.236303,0.309770,0.933967,-0.014871,0.281408,0.276586,0.945971,0.008229,0.154881,0.189217,0.000000,-0.056799,0.231466,0.303670,0.933485,0.012448,0.240015,0.310423,0.922736,-0.010814,0.209059,0.328152,0.918879,,,,,,,-0.021412,0.236052,0.309724,-0.014867,0.281484,0.276384,,,,-0.056704,0.231697,0.303761,0.012355,0.240277,0.310559,-0.010755,0.208741,0.328174
36,0.600000,0.244287,-0.023868,0.792128,0.558827,0.008129,0.155202,0.189273,0.000187,-0.021727,0.236218,0.310033,0.933967,-0.015022,0.281438,0.277052,0.945971,0.008125,0.155204,0.189273,0.000000,-0.057168,0.231487,0.303778,0.933485,0.012072,0.239849,0.310830,0.922736,-0.011328,0.208878,0.328347,0.918879,,,,,,,-0.021779,0.235977,0.309992,-0.015020,0.281528,0.276834,,,,-0.057067,0.231700,0.303885,0.011990,0.240106,0.310980,-0.011296,0.208559,0.328351
37,0.616667,0.245736,-0.027587,0.791866,0.558391,0.007807,0.155892,0.189231,0.000200,-0.022153,0.236012,0.310561,0.932183,-0.015329,0.281476,0.277943,0.939761,0.007803,0.155894,0.189231,0.000000,-0.057589,0.231377,0.304208,0.934658,0.011650,0.239591,0.311446,0.922857,-0.011823,0.208516,0.328682,0.917469,,,,,,,-0.022228,0.235757,0.310509,-0.015320,0.281576,0.277724,,,,-0.057503,0.231601,0.304310,0.011568,0.239846,0.311599,-0.011761,0.208193,0.328697
