Format Version,1.23,Take Name,ear2ear_21_10_2022,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.14.646 AM,Total Frames in Take,717,Total Exported Frames,717,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,92.594666,69.880257,-47.902863,-0.517629,110.715569,0.292254,0.320448,-141.846741,166.244064,-6.122055,0.945578,-91.794807,238.936447,6.542844,0.894193,-124.373360,195.803299,-10.128142,0.911145,-124.593887,191.915588,23.321756,0.925975,-118.631813,199.699203,-45.742939,0.847689,-0.394715,110.617409,0.243433,0.000000,-141.864243,166.331299,-5.923376,-91.814026,238.944305,6.120126,-124.373550,195.476852,-10.268681,-124.791054,191.696442,23.349527,-118.397903,200.149902,-45.406281,,,,,,,,,,,,
27,0.225000,92.620308,69.819847,-47.792778,-0.521466,110.721664,0.173544,0.316087,-141.786392,166.417618,-6.202205,0.945578,-91.663589,239.027008,6.656974,0.894193,-124.278564,195.966843,-10.131019,0.911145,-124.523849,192.004074,23.309889,0.925975,-118.510933,199.936707,-45.733421,0.847689,-0.398628,110.623474,0.124577,0.000000,-141.803940,166.493286,-5.988911,-91.682426,239.027618,6.231414,-124.283867,195.625305,-10.260533,-124.726379,191.795486,23.343981,-118.266823,200.410614,-45.425804,,,,,,,,,,,,
28,0.233333,92.090149,69.727257,-47.421486,-0.612050,110.570023,0.650139,0.207714,-141.767365,166.485992,-6.209368,0.940282,-91.548470,239.050385,6.528524,0.954534,-124.200554,195.992752,-10.193767,0.949940,-124.525154,192.136581,23.258942,0.927116,-118.348915,199.839737,-45.795967,0.952049,-0.489275,110.471474,0.601751,0.000000,-141.741135,166.674515,-6.065026,-91.539398,239.137024,6.368870,-124.199203,195.797913,-10.240047,-124.662849,191.895599,23.348166,-118.248039,200.000488,-45.823734,,,,,,,,,,,,
29,0.241667,92.031525,69.571884,-47.238396,-0.749990,110.425652,0.628643,0.214007,-141.744034,166.743149,-6.263077,0.940282,-91.338814,239.143845,6.668777,0.954534,-124.092125,196.209259,-10.171454,0.949940,-124.461304,192.288040,23.273218,0.927116,-118.193764,200.110321,-45.760067,0.952049,-0.627437,110.326859,0.580185,0.000000,-141.734940,166.998108,-6.114721,-91.359673,239.244720,6.516444,-124.044708,195.999268,-10.222897,-124.588448,192.009171,23.359968,-118.102226,200.243546,-45.791599,,,,,,,,,,,,
30,0.250000,92.072495,69.554970,-47.112385,-0.632226,110.562332,0.516108,0.209788,-141.602905,166.944351,-6.325894,0.926220,-91.184204,239.292587,6.845016,0.954028,-123.938568,196.415482,-10.139106,0.944666,-124.334335,192.401581,23.294264,0.920367,-118.012001,200.413422,-45.712273,0.958826,-0.509668,110.463631,0.467468,0.000000,-141.552063,167.181442,-6.184325,-91.173332,239.391830,6.713741,-123.895905,196.227249,-10.191074,-124.496994,192.137726,23.384390,-117.953941,200.529358,-45.760887,,,,,,,,,,,,
31,0.258333,92.003967,69.466301,-46.864552,-0.637345,110.562721,0.488644,0.202734,-141.507568,167.189880,-6.397459,0.937423,-90.992615,239.419312,7.053495,0.956225,-123.790611,196.643417,-10.100740,0.954983,-124.241631,192.534714,23.320417,0.918522,-117.805740,200.733398,-45.653675,0.967418,-0.514874,110.463959,0.439900,0.000000,-141.460220,167.400208,-6.270304,-90.955193,239.544525,6.936958,-123.756729,196.470703,-10.138809,-124.409279,192.272018,23.415823,-117.756790,200.833160,-45.721775,,,,,,,,,,,,
32,0.266667,91.836838,69.401413,-46.469978,-0.599436,110.613235,0.538936,0.193630,-141.384308,167.435745,-6.482055,0.937423,-90.814262,239.555740,7.343997,0.956225,-123.623009,196.880615,-10.039156,0.954983,-124.158577,192.654556,23.366121,0.918522,-117.548492,201.088730,-45.563080,0.967418,-0.476969,110.514496,0.490135,0.000000,-141.336548,167.610870,-6.370157,-90.769897,239.668671,7.222739,-123.612358,196.713608,-10.073160,-124.317940,192.421783,23.469700,-117.491997,201.200516,-45.623592,,,,,,,,,,,,
33,0.275000,91.830399,69.216362,-46.255474,-0.744045,110.479210,0.490110,0.209752,-141.333725,167.785614,-6.508898,0.925341,-90.545204,239.692474,7.623039,0.956527,-123.471931,197.184052,-9.944543,0.951315,-124.062225,192.846619,23.445532,0.914923,-117.340225,201.492615,-45.446602,0.972429,-0.621841,110.380249,0.441124,0.000000,-141.287842,168.053070,-6.384224,-90.527374,239.827026,7.514322,-123.426514,196.998444,-9.982103,-124.216576,192.557190,23.536140,-117.295113,201.565720,-45.515766,,,,,,,,,,,,
34,0.283333,91.838066,69.115997,-46.023083,-0.749484,110.493446,0.429776,0.200859,-141.226257,168.079773,-6.538491,0.925341,-90.328484,239.839111,7.945848,0.956527,-123.306984,197.459274,-9.833995,0.951315,-123.951447,192.991943,23.537941,0.914923,-117.118256,201.896072,-45.310352,0.972429,-0.627390,110.394447,0.380570,0.000000,-141.181122,168.327469,-6.410688,-90.322807,239.947433,7.836273,-123.261467,197.298828,-9.871882,-124.097984,192.718689,23.630219,-117.068253,201.973770,-45.383106,,,,,,,,,,,,
35,0.291667,91.637329,69.172447,-45.524479,-0.544943,110.847191,0.555090,0.211209,-141.050934,168.341003,-6.586124,0.922634,-90.263115,240.077454,8.389251,0.960940,-123.147835,197.751282,-9.689578,0.944320,-123.892548,193.128922,23.659151,0.931251,-116.852272,202.357727,-45.125500,0.967534,-0.422607,110.748535,0.505809,0.000000,-141.061951,168.614914,-6.442502,-90.269699,240.233383,8.381824,-123.069801,197.557175,-9.765985,-123.974815,192.875214,23.726074,-116.830597,202.375763,-45.252262,,,,,,,,,,,,
