Format Version,1.23,Take Name,brenda_ear2ear_007,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.16.53.602 AM,Total Frames in Take,429,Total Exported Frames,429,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
28,0.466667,0.056224,0.921108,0.256083,-0.287787,-0.004008,0.222588,0.126432,0.000397,-0.139304,0.273830,0.159704,0.696393,-0.146623,0.225804,0.188296,0.923290,-0.004008,0.222590,0.126435,0.000000,-0.124776,0.292935,0.186935,0.914827,-0.148832,0.252820,0.134724,0.937784,-0.136501,0.293452,0.131452,0.905853,-0.139777,0.274944,0.159807,-0.146418,0.225626,0.188439,,,,-0.124753,0.292601,0.186996,-0.148894,0.252702,0.134514,-0.136275,0.293161,0.131372
29,0.483333,0.056341,0.920925,0.256492,-0.287982,-0.004000,0.222586,0.126476,0.000396,-0.139261,0.273851,0.159855,0.693715,-0.146584,0.225805,0.188411,0.922677,-0.004001,0.222587,0.126480,0.000000,-0.124713,0.292929,0.187094,0.912650,-0.148809,0.252865,0.134862,0.933550,-0.136464,0.293494,0.131617,0.907490,-0.139759,0.274965,0.159964,-0.146371,0.225637,0.188560,,,,-0.124688,0.292586,0.187152,-0.148875,0.252732,0.134642,-0.136226,0.293222,0.131539
30,0.500000,0.056356,0.920779,0.256779,-0.288192,-0.003995,0.222636,0.126490,0.000399,-0.139236,0.273894,0.159960,0.693715,-0.146551,0.225831,0.188491,0.922677,-0.003996,0.222637,0.126494,0.000000,-0.124674,0.292954,0.187205,0.912650,-0.148797,0.252924,0.134959,0.933550,-0.136450,0.293554,0.131733,0.907490,-0.139730,0.275013,0.160069,-0.146339,0.225667,0.188635,,,,-0.124645,0.292614,0.187279,-0.148866,0.252783,0.134735,-0.136216,0.293280,0.131650
31,0.516667,0.056407,0.920718,0.256844,-0.288318,-0.003994,0.222681,0.126487,0.000399,-0.139222,0.273945,0.160003,0.692999,-0.146532,0.225878,0.188529,0.923906,-0.003994,0.222682,0.126491,0.000000,-0.124650,0.292999,0.187246,0.912694,-0.148791,0.252979,0.135002,0.931567,-0.136442,0.293609,0.131778,0.907578,-0.139720,0.275060,0.160120,-0.146321,0.225706,0.188669,,,,-0.124615,0.292674,0.187326,-0.148861,0.252843,0.134774,-0.136209,0.293325,0.131690
32,0.533333,0.056480,0.920622,0.257089,-0.288392,-0.004005,0.222698,0.126445,0.000396,-0.139213,0.273979,0.160013,0.693252,-0.146530,0.225901,0.188517,0.923479,-0.004005,0.222699,0.126449,0.000000,-0.124631,0.293018,0.187261,0.915726,-0.148793,0.253028,0.135003,0.931460,-0.136434,0.293656,0.131796,0.905671,-0.139739,0.275098,0.160114,-0.146313,0.225731,0.188658,,,,-0.124591,0.292695,0.187344,-0.148859,0.252902,0.134778,-0.136195,0.293362,0.131716
33,0.550000,0.056494,0.920528,0.257408,-0.288404,-0.004016,0.222725,0.126400,0.000396,-0.139212,0.274014,0.160006,0.689977,-0.146537,0.225920,0.188481,0.922769,-0.004017,0.222726,0.126404,0.000000,-0.124625,0.293033,0.187266,0.916044,-0.148797,0.253081,0.134985,0.933238,-0.136430,0.293708,0.131802,0.903221,-0.139734,0.275126,0.160104,-0.146323,0.225743,0.188626,,,,-0.124584,0.292714,0.187347,-0.148865,0.252952,0.134757,-0.136190,0.293420,0.131724
34,0.566667,0.056653,0.920466,0.257556,-0.288440,-0.004032,0.222731,0.126344,0.000393,-0.139204,0.274063,0.159983,0.692674,-0.146542,0.225965,0.188449,0.919746,-0.004033,0.222733,0.126347,0.000000,-0.124605,0.293070,0.187245,0.917983,-0.148801,0.253138,0.134958,0.933916,-0.136419,0.293762,0.131783,0.905269,-0.139733,0.275168,0.160082,-0.146329,0.225778,0.188599,,,,-0.124563,0.292754,0.187321,-0.148866,0.253012,0.134736,-0.136175,0.293485,0.131698
35,0.583333,0.056812,0.920513,0.257402,-0.288398,-0.004031,0.222754,0.126326,0.000392,-0.139192,0.274129,0.159944,0.693869,-0.146541,0.226044,0.188429,0.918607,-0.004032,0.222755,0.126330,0.000000,-0.124589,0.293144,0.187198,0.921603,-0.148793,0.253196,0.134928,0.932914,-0.136403,0.293815,0.131736,0.905686,-0.139717,0.275230,0.160045,-0.146333,0.225844,0.188580,,,,-0.124543,0.292842,0.187270,-0.148859,0.253067,0.134702,-0.136158,0.293539,0.131656
36,0.600000,0.057018,0.920553,0.257275,-0.288340,-0.004032,0.222752,0.126323,0.000391,-0.139176,0.274185,0.159920,0.694786,-0.146541,0.226113,0.188423,0.917961,-0.004033,0.222753,0.126327,0.000000,-0.124567,0.293205,0.187167,0.922354,-0.148784,0.253246,0.134912,0.933391,-0.136380,0.293860,0.131704,0.905149,-0.139700,0.275283,0.160024,-0.146333,0.225910,0.188574,,,,-0.124522,0.292906,0.187238,-0.148853,0.253119,0.134688,-0.136133,0.293584,0.131622
37,0.616667,0.057082,0.920520,0.257366,-0.288353,-0.004034,0.222752,0.126313,0.000392,-0.139167,0.274202,0.159927,0.693650,-0.146539,0.226128,0.188423,0.917399,-0.004035,0.222753,0.126317,0.000000,-0.124554,0.293216,0.187176,0.922282,-0.148781,0.253268,0.134916,0.933805,-0.136370,0.293881,0.131714,0.904933,-0.139697,0.275303,0.160029,-0.146329,0.225922,0.188576,,,,-0.124508,0.292917,0.187247,-0.148848,0.253143,0.134693,-0.136122,0.293606,0.131630
