Format Version,1.23,Take Name,charlie_nziz,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.10.33.114 AM,Total Frames in Take,370,Total Exported Frames,370,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.433333,0.473920,0.641381,0.301699,-0.522501,0.038271,0.154701,0.211960,0.000142,0.033606,0.263434,0.312921,0.958137,0.020771,0.223320,0.350386,0.951564,0.038274,0.154701,0.211963,0.000000,0.069677,0.261133,0.316268,0.978064,0.000044,0.260683,0.308207,0.948325,0.027614,0.284819,0.286505,0.954537,,,,,,,0.033531,0.263528,0.313048,0.020774,0.223125,0.350430,,,,0.069593,0.261172,0.316254,0.000213,0.260834,0.308226,0.027602,0.284731,0.286329
27,0.450000,0.473377,0.641560,0.301672,-0.522789,0.038258,0.154850,0.211914,0.000141,0.033465,0.263508,0.312950,0.956077,0.020669,0.223354,0.350385,0.950446,0.038261,0.154850,0.211916,0.000000,0.069538,0.261243,0.316299,0.972316,-0.000093,0.260724,0.308229,0.947403,0.027454,0.284905,0.286548,0.952034,,,,,,,0.033391,0.263604,0.313077,0.020675,0.223161,0.350431,,,,0.069439,0.261286,0.316276,0.000062,0.260864,0.308252,0.027467,0.284819,0.286376
28,0.466667,0.472648,0.641623,0.301170,-0.523661,0.038180,0.155090,0.211804,0.000133,0.033275,0.263646,0.312944,0.957981,0.020601,0.223432,0.350357,0.952805,0.038183,0.155090,0.211806,0.000000,0.069356,0.261452,0.316252,0.977951,-0.000283,0.260798,0.308257,0.946933,0.027191,0.285055,0.286567,0.953947,,,,,,,0.033211,0.263740,0.313068,0.020611,0.223248,0.350398,,,,0.069274,0.261484,0.316240,-0.000133,0.260947,0.308263,0.027176,0.284963,0.286408
29,0.483333,0.472317,0.642376,0.300407,-0.523474,0.038245,0.155173,0.211819,0.000116,0.033091,0.263848,0.312819,0.958161,0.020471,0.223658,0.350276,0.958771,0.038248,0.155173,0.211822,0.000000,0.069174,0.261724,0.316148,0.975807,-0.000460,0.260932,0.308119,0.958253,0.026981,0.285212,0.286413,0.957351,,,,,,,0.033034,0.263942,0.312945,0.020475,0.223496,0.350306,,,,0.069087,0.261758,0.316122,-0.000337,0.261044,0.308141,0.026997,0.285135,0.286261
30,0.500000,0.472390,0.642911,0.299714,-0.523149,0.038226,0.155256,0.211793,0.000115,0.032941,0.264087,0.312619,0.952471,0.020349,0.223945,0.350136,0.955566,0.038229,0.155257,0.211796,0.000000,0.069026,0.262003,0.315961,0.979932,-0.000605,0.261133,0.307914,0.960623,0.026819,0.285404,0.286176,0.957410,,,,,,,0.032869,0.264209,0.312746,0.020356,0.223772,0.350177,,,,0.068955,0.262027,0.315931,-0.000489,0.261239,0.307925,0.026839,0.285324,0.286027
31,0.516667,0.471998,0.643512,0.298776,-0.523300,0.038242,0.155414,0.211722,0.000128,0.032745,0.264336,0.312438,0.952471,0.020247,0.224205,0.349999,0.955566,0.038245,0.155414,0.211725,0.000000,0.068834,0.262332,0.315775,0.979932,-0.000795,0.261304,0.307744,0.960623,0.026571,0.285612,0.285975,0.957410,,,,,,,0.032689,0.264455,0.312558,0.020266,0.224024,0.350044,,,,0.068722,0.262364,0.315744,-0.000682,0.261426,0.307756,0.026607,0.285521,0.285829
32,0.533333,0.471516,0.644198,0.297562,-0.523582,0.038254,0.155634,0.211656,0.000102,0.032512,0.264661,0.312244,0.955493,0.020142,0.224542,0.349860,0.953116,0.038257,0.155634,0.211659,0.000000,0.068609,0.262759,0.315565,0.969824,-0.001022,0.261533,0.307570,0.958327,0.026268,0.285889,0.285759,0.956062,,,,,,,0.032458,0.264769,0.312365,0.020154,0.224381,0.349898,,,,0.068540,0.262785,0.315537,-0.000943,0.261630,0.307584,0.026301,0.285820,0.285615
33,0.550000,0.470729,0.645046,0.296380,-0.523916,0.038297,0.155956,0.211540,0.000111,0.032220,0.265054,0.312032,0.957377,0.019987,0.224928,0.349685,0.958573,0.038300,0.155957,0.211542,0.000000,0.068323,0.263272,0.315348,0.980395,-0.001305,0.261813,0.307367,0.968688,0.025902,0.286237,0.285529,0.959247,,,,,,,0.032168,0.265143,0.312154,0.019996,0.224752,0.349740,,,,0.068264,0.263308,0.315320,-0.001232,0.261921,0.307378,0.025932,0.286181,0.285370
34,0.566667,0.470263,0.645818,0.296117,-0.523532,0.038272,0.156274,0.211532,0.000105,0.031911,0.265430,0.311943,0.962423,0.019683,0.225312,0.349607,0.960820,0.038275,0.156274,0.211535,0.000000,0.068012,0.263700,0.315308,0.977359,-0.001603,0.262140,0.307236,0.966105,0.025599,0.286587,0.285418,0.961489,,,,,,,0.031861,0.265522,0.312050,0.019691,0.225160,0.349643,,,,0.067932,0.263731,0.315280,-0.001510,0.262236,0.307255,0.025630,0.286520,0.285282
35,0.583333,0.469950,0.646421,0.296424,-0.522896,0.038209,0.156654,0.211448,0.000118,0.031625,0.265832,0.311821,0.965916,0.019335,0.225719,0.349470,0.959286,0.038212,0.156654,0.211450,0.000000,0.067719,0.264112,0.315256,0.982050,-0.001880,0.262531,0.307050,0.950167,0.025358,0.286981,0.285278,0.959614,,,,,,,0.031558,0.265895,0.311921,0.019335,0.225561,0.349507,,,,0.067658,0.264148,0.315246,-0.001733,0.262665,0.307065,0.025339,0.286906,0.285136
36,0.600000,0.469841,0.647202,0.295785,-0.522389,0.038146,0.156989,0.211370,0.000118,0.031332,0.266324,0.311556,0.961480,0.019057,0.226259,0.349261,0.957793,0.038149,0.156989,0.211373,0.000000,0.067426,0.264655,0.315028,0.977728,-0.002163,0.262974,0.306759,0.953518,0.025064,0.287421,0.284973,0.956610,,,,,,,0.031274,0.266405,0.311673,0.019073,0.226094,0.349293,,,,0.067343,0.264686,0.315016,-0.002038,0.263110,0.306773,0.025064,0.287338,0.284821
37,0.616667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031020,0.266968,0.311280,0.018856,0.226707,0.348997,,,,0.067099,0.265354,0.314653,-0.002253,0.263610,0.306360,0.024793,0.287803,0.284381
38,0.633333,0.470080,0.649254,0.293605,-0.520855,0.038182,0.157631,0.211112,0.000131,0.030847,0.267517,0.310657,0.961480,0.018618,0.227632,0.348567,0.957793,0.038185,0.157632,0.211115,0.000000,0.066939,0.265977,0.314208,0.977728,-0.002629,0.264040,0.305815,0.953518,0.024568,0.288444,0.283942,0.956610,,,,,,,0.030775,0.267610,0.310765,0.018625,0.227441,0.348626,,,,0.066873,0.266021,0.314183,-0.002510,0.264184,0.305820,0.024580,0.288355,0.283795
