Format Version,1.23,Take Name,pinkhead_ear2ear_006,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.15.01.001 AM,Total Frames in Take,410,Total Exported Frames,410,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.433333,-0.125249,-0.426479,0.886543,0.128338,-0.032181,0.108651,0.132727,0.001463,-0.178606,0.085705,0.141173,0.000000,-0.184016,0.141728,0.138067,0.000000,-0.032183,0.108651,0.132723,0.000000,-0.179112,0.079297,0.105448,0.865160,-0.173879,0.094470,0.173685,0.651678,-0.170883,0.055687,0.156349,0.585011,-0.123864,0.270499,0.196383,0.290108,0.486808,0.358323,,,,,,,,,,,,,,,,,,,-0.179179,0.079826,0.105427,-0.173981,0.094143,0.172313,-0.170661,0.055244,0.157949
27,0.450000,-0.125245,-0.426297,0.886674,0.128036,-0.032249,0.108891,0.132601,0.001469,-0.178663,0.085873,0.141034,0.000000,-0.184102,0.141892,0.137899,0.000000,-0.032251,0.108892,0.132598,0.000000,-0.179159,0.079447,0.105312,0.867365,-0.173946,0.094657,0.173542,0.647805,-0.170926,0.055866,0.156227,0.577572,-0.123920,0.270517,0.196308,,,,,,,,,,,,,,,,,,,,,,-0.179227,0.079972,0.105287,-0.174047,0.094325,0.172177,-0.170704,0.055430,0.157844
28,0.466667,-0.126799,-0.426590,0.886232,0.128594,-0.032206,0.108853,0.132851,0.001454,-0.178694,0.086174,0.140907,0.000000,-0.183994,0.142208,0.137795,0.000000,-0.032209,0.108854,0.132847,0.000000,-0.179118,0.079772,0.105180,0.865185,-0.174037,0.094926,0.173433,0.641048,-0.171066,0.056140,0.156100,0.594172,-0.124000,0.270526,0.196184,0.290145,0.487017,0.357994,,,,,,,,,,,,,,,,,,,-0.179184,0.080307,0.105169,-0.174138,0.094596,0.172039,-0.170855,0.055700,0.157648
29,0.483333,-0.126987,-0.426838,0.886111,0.128417,-0.032298,0.109091,0.132840,0.001500,-0.178786,0.086381,0.140801,0.000000,-0.184095,0.142415,0.137711,0.000000,-0.032300,0.109091,0.132836,0.000000,-0.179188,0.079995,0.105071,0.866577,-0.174150,0.095120,0.173334,0.624845,-0.171162,0.056341,0.155985,0.593702,-0.124175,0.270502,0.196026,0.290142,0.487062,0.357942,,,,,,,,,,,,,,,,,,,-0.179254,0.080524,0.105060,-0.174252,0.094759,0.171880,-0.170954,0.055928,0.157543
30,0.500000,-0.126987,-0.425526,0.886744,0.128405,-0.032352,0.109372,0.132594,0.001458,-0.178839,0.086708,0.140693,0.000000,-0.184141,0.142733,0.137445,0.000000,-0.032354,0.109373,0.132591,0.000000,-0.179259,0.080219,0.104981,0.865012,-0.174185,0.095539,0.173197,0.637613,-0.171211,0.056710,0.155959,0.596487,-0.124274,0.270499,0.195908,,,,,,,,,,,,,,,,,,,,,,-0.179326,0.080755,0.104972,-0.174288,0.095203,0.171791,-0.171002,0.056275,0.157499
31,0.516667,-0.127097,-0.426571,0.886260,0.128166,-0.032399,0.109793,0.132699,0.001509,-0.178882,0.087042,0.140633,0.000000,-0.184208,0.143072,0.137502,0.000000,-0.032401,0.109794,0.132696,0.000000,-0.179271,0.080631,0.104907,0.865012,-0.174258,0.095805,0.173160,0.637613,-0.171252,0.057015,0.155839,0.596487,-0.124395,0.270466,0.195823,0.290119,0.487249,0.357741,,,,,,,,,,,,,,,,,,,-0.179337,0.081154,0.104893,-0.174361,0.095460,0.171721,-0.171035,0.056581,0.157463
32,0.533333,-0.126170,-0.426178,0.886730,0.127137,-0.032550,0.110360,0.132486,0.001525,-0.178965,0.087232,0.140589,0.000000,-0.184442,0.143244,0.137401,0.000000,-0.032552,0.110361,0.132482,0.000000,-0.179372,0.080780,0.104871,0.868140,-0.174332,0.096043,0.173102,0.629159,-0.171241,0.057242,0.155822,0.576393,-0.124535,0.270411,0.195761,0.290094,0.487278,0.357749,,,,,,,,,,,,,,,,,,,-0.179440,0.081295,0.104837,-0.174428,0.095661,0.171692,-0.171026,0.056864,0.157464
33,0.550000,-0.127253,-0.426072,0.886296,0.129418,-0.032529,0.109724,0.132457,0.001437,-0.179060,0.087340,0.140541,0.000000,-0.184251,0.143381,0.137379,0.000000,-0.032531,0.109725,0.132454,0.000000,-0.179498,0.080907,0.104819,0.869717,-0.174385,0.096111,0.173058,0.634136,-0.171490,0.057304,0.155759,0.575238,-0.124783,0.270311,0.195680,,,,,,,,,,,,,,,,,,,,,,-0.179564,0.081443,0.104810,-0.174487,0.095806,0.171685,-0.171275,0.056833,0.157322
34,0.566667,-0.126694,-0.425971,0.886417,0.129470,-0.032662,0.109992,0.132258,0.001430,-0.179176,0.087551,0.140504,0.000000,-0.184392,0.143590,0.137342,0.000000,-0.032664,0.109992,0.132254,0.000000,-0.179651,0.081114,0.104784,0.865111,-0.174468,0.096329,0.173015,0.651823,-0.171578,0.057521,0.155718,0.580977,-0.125027,0.270216,0.195579,,,,,,,,,,,,,,,,,,,,,,-0.179716,0.081650,0.104775,-0.174573,0.096040,0.171657,-0.171356,0.057028,0.157305
35,0.583333,-0.125815,-0.425934,0.886712,0.128423,-0.032875,0.110831,0.132064,0.001451,-0.179322,0.088002,0.140429,0.000000,-0.184690,0.144025,0.137250,0.000000,-0.032877,0.110831,0.132061,0.000000,-0.179806,0.081550,0.104711,0.868268,-0.174613,0.096804,0.172933,0.660545,-0.171632,0.057997,0.155648,0.562235,-0.125318,0.270125,0.195416,0.289966,0.487476,0.357733,,,,,,,,,,,,,,,,,,,-0.179873,0.082072,0.104683,-0.174713,0.096505,0.171613,-0.171401,0.057521,0.157317
